,age,job,marital,education,contact,month,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,deposit_approve
4623,55,technician,married,high.school,telephone,may,719,1,no,0,nonexistent,1.1,93.994,-36.4,4.856,yes
4635,49,housemaid,married,basic.4y,telephone,may,801,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4652,42,admin.,single,university.degree,telephone,may,938,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4672,45,admin.,single,professional.course,telephone,may,565,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4677,59,retired,married,professional.course,telephone,may,905,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4694,54,blue-collar,married,basic.9y,telephone,may,783,2,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4720,55,technician,married,basic.9y,telephone,may,958,2,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4737,30,admin.,single,university.degree,telephone,may,819,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4752,35,technician,single,university.degree,telephone,may,412,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4769,31,blue-collar,married,basic.6y,telephone,may,795,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4793,36,admin.,single,professional.course,telephone,may,828,4,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4851,46,housemaid,married,basic.4y,telephone,may,506,2,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4872,32,technician,single,university.degree,telephone,may,857,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4899,45,admin.,divorced,university.degree,telephone,may,681,3,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4904,30,admin.,single,high.school,telephone,may,860,2,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
4982,44,blue-collar,divorced,unknown,telephone,may,799,1,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
5007,32,blue-collar,married,basic.9y,telephone,may,923,3,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
5027,37,services,married,high.school,telephone,may,521,3,no,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,yes
5056,58,admin.,divorced,university.degree,telephone,may,628,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5084,49,technician,married,professional.course,telephone,may,736,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5107,38,technician,married,basic.6y,telephone,may,785,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5162,47,blue-collar,married,basic.6y,telephone,may,600,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5174,55,retired,married,high.school,telephone,may,924,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5329,50,technician,married,high.school,telephone,may,893,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5347,32,admin.,single,university.degree,telephone,may,588,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5363,33,services,single,high.school,telephone,may,777,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5384,60,retired,married,high.school,telephone,may,597,6,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5442,39,services,married,high.school,telephone,may,430,6,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5613,56,blue-collar,married,professional.course,telephone,may,621,4,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5619,58,admin.,single,university.degree,telephone,may,543,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5636,44,management,single,university.degree,telephone,may,745,4,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5638,29,student,single,high.school,telephone,may,630,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5652,41,services,married,high.school,telephone,may,679,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5707,43,entrepreneur,married,high.school,telephone,may,642,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5731,41,unemployed,married,basic.9y,telephone,may,895,4,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5780,39,management,married,university.degree,telephone,may,431,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5784,25,blue-collar,married,high.school,telephone,may,741,6,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5818,38,self-employed,single,university.degree,telephone,may,414,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5850,52,blue-collar,married,basic.4y,telephone,may,748,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5852,28,entrepreneur,married,basic.9y,telephone,may,896,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
5863,24,admin.,married,basic.9y,telephone,may,764,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6018,34,blue-collar,married,basic.9y,telephone,may,740,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6104,47,admin.,married,high.school,telephone,may,731,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6143,31,blue-collar,married,basic.9y,telephone,may,935,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6164,39,management,single,university.degree,telephone,may,751,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6213,52,management,married,professional.course,telephone,may,709,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6362,45,blue-collar,married,basic.6y,telephone,may,858,6,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6433,52,admin.,divorced,university.degree,telephone,may,938,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6466,34,blue-collar,single,basic.9y,telephone,may,576,3,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6520,57,blue-collar,divorced,basic.9y,telephone,may,543,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6585,40,admin.,married,university.degree,telephone,may,615,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6605,50,services,married,basic.4y,telephone,may,507,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6629,25,unemployed,single,high.school,telephone,may,694,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6648,54,technician,married,professional.course,telephone,may,796,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6662,33,admin.,married,university.degree,telephone,may,664,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6678,41,management,married,basic.6y,telephone,may,648,1,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6695,53,technician,married,professional.course,telephone,may,864,2,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6762,30,management,single,university.degree,telephone,may,691,5,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6860,59,retired,married,professional.course,telephone,may,560,9,no,0,nonexistent,1.1,93.994,-36.4,4.857,yes
6901,39,admin.,married,university.degree,telephone,may,543,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
6937,40,technician,married,basic.9y,telephone,may,539,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
6959,28,entrepreneur,married,basic.9y,telephone,may,733,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
6982,34,services,married,high.school,telephone,may,791,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7009,37,unemployed,married,professional.course,telephone,may,746,1,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7095,31,blue-collar,married,basic.9y,telephone,may,535,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7162,36,admin.,single,university.degree,telephone,may,792,3,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7248,37,admin.,single,university.degree,telephone,may,900,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7266,42,admin.,single,university.degree,telephone,may,814,2,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7289,58,retired,married,basic.9y,telephone,may,828,3,no,0,nonexistent,1.1,93.994,-36.4,4.86,yes
7359,34,housemaid,divorced,high.school,telephone,may,553,3,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7397,40,services,married,high.school,telephone,may,762,3,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7404,48,blue-collar,married,basic.6y,telephone,may,290,5,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7419,30,admin.,married,university.degree,telephone,may,864,1,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7437,43,blue-collar,divorced,basic.4y,telephone,may,618,2,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7444,25,blue-collar,married,basic.9y,telephone,may,763,1,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7445,27,admin.,single,high.school,telephone,may,682,1,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7470,47,blue-collar,married,basic.6y,telephone,may,604,2,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7475,52,services,married,high.school,telephone,may,854,2,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7478,50,technician,married,professional.course,telephone,may,855,2,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7542,41,entrepreneur,married,university.degree,telephone,may,691,10,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7571,29,technician,married,professional.course,telephone,may,886,3,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7620,48,technician,single,unknown,telephone,may,722,3,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7652,42,services,married,high.school,telephone,may,984,2,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7717,32,admin.,single,high.school,telephone,may,891,4,no,0,nonexistent,1.1,93.994,-36.4,4.864,yes
7793,46,admin.,married,university.degree,telephone,jun,502,5,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7808,38,unemployed,married,basic.6y,telephone,jun,947,4,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7814,60,management,married,university.degree,telephone,jun,526,2,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7817,30,services,divorced,basic.9y,telephone,jun,394,1,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7819,28,services,married,high.school,telephone,jun,659,2,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7835,42,blue-collar,married,basic.6y,telephone,jun,1036,1,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7881,39,services,single,high.school,telephone,jun,563,1,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7952,26,blue-collar,married,basic.9y,telephone,jun,230,3,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
7983,33,services,single,university.degree,telephone,jun,747,2,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
8014,55,technician,married,professional.course,telephone,jun,555,5,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
8062,52,blue-collar,married,high.school,telephone,jun,777,4,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
8112,35,student,single,university.degree,telephone,jun,444,2,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
8130,59,retired,divorced,university.degree,telephone,jun,605,6,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
8135,39,technician,single,professional.course,telephone,jun,432,4,no,0,nonexistent,1.4,94.465,-41.8,4.865,yes
8180,34,blue-collar,married,basic.9y,telephone,jun,963,2,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8196,32,blue-collar,single,high.school,telephone,jun,956,3,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8233,56,management,married,basic.9y,telephone,jun,941,3,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8246,48,management,married,university.degree,telephone,jun,1025,7,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8276,38,admin.,single,university.degree,telephone,jun,992,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8279,41,blue-collar,married,basic.6y,telephone,jun,732,2,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8350,24,admin.,single,high.school,telephone,jun,768,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8355,31,unemployed,divorced,basic.4y,telephone,jun,801,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8360,30,blue-collar,married,basic.6y,telephone,jun,482,2,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8502,52,retired,married,basic.4y,telephone,jun,633,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8535,38,admin.,single,university.degree,telephone,jun,578,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8542,35,admin.,single,high.school,telephone,jun,984,2,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8568,34,admin.,married,high.school,telephone,jun,638,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8596,31,blue-collar,single,basic.9y,telephone,jun,767,2,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8599,38,blue-collar,single,high.school,telephone,jun,936,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8603,32,admin.,married,university.degree,telephone,jun,525,2,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8607,33,unemployed,married,basic.9y,telephone,jun,563,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8621,36,blue-collar,married,basic.9y,telephone,jun,920,1,no,0,nonexistent,1.4,94.465,-41.8,4.864,yes
8804,42,blue-collar,married,basic.4y,telephone,jun,812,1,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8817,52,blue-collar,divorced,basic.4y,telephone,jun,910,2,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8866,28,technician,single,professional.course,telephone,jun,508,2,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8883,31,blue-collar,single,basic.4y,telephone,jun,590,3,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8897,41,management,married,unknown,telephone,jun,636,1,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8906,59,unknown,married,unknown,telephone,jun,701,1,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8912,34,blue-collar,married,basic.9y,telephone,jun,761,2,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8958,31,technician,married,university.degree,telephone,jun,983,2,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
8977,31,technician,single,university.degree,telephone,jun,817,2,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
9003,29,services,single,high.school,telephone,jun,1018,3,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
9028,34,blue-collar,divorced,professional.course,telephone,jun,884,4,no,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,yes
9101,39,services,married,high.school,telephone,jun,554,1,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9157,52,self-employed,married,basic.4y,telephone,jun,381,2,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9203,38,admin.,married,university.degree,telephone,jun,460,4,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9204,35,management,single,unknown,telephone,jun,712,2,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9215,32,blue-collar,married,basic.6y,telephone,jun,642,2,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9239,40,blue-collar,married,professional.course,telephone,jun,554,2,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9256,48,self-employed,married,university.degree,telephone,jun,467,3,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9447,40,services,divorced,high.school,telephone,jun,685,3,no,0,nonexistent,1.4,94.465,-41.8,4.967,yes
9547,30,blue-collar,single,basic.4y,telephone,jun,882,1,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9572,26,student,single,high.school,telephone,jun,901,1,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9585,24,services,single,high.school,telephone,jun,700,1,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9636,34,admin.,married,high.school,telephone,jun,491,6,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9650,36,technician,married,high.school,telephone,jun,940,1,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9705,38,technician,married,professional.course,telephone,jun,952,2,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9708,27,entrepreneur,single,university.degree,telephone,jun,486,3,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9733,42,technician,married,basic.9y,telephone,jun,442,8,no,0,nonexistent,1.4,94.465,-41.8,4.961,yes
9792,36,unknown,single,basic.6y,telephone,jun,878,3,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9796,29,admin.,married,professional.course,telephone,jun,583,4,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9811,34,management,married,university.degree,telephone,jun,893,8,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9840,37,admin.,married,university.degree,telephone,jun,867,1,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9841,30,self-employed,single,university.degree,telephone,jun,587,1,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9852,53,blue-collar,divorced,basic.4y,telephone,jun,706,1,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9901,43,entrepreneur,married,university.degree,telephone,jun,935,1,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9904,50,blue-collar,married,basic.6y,telephone,jun,586,1,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9907,31,blue-collar,married,basic.9y,telephone,jun,838,2,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9911,48,admin.,divorced,high.school,telephone,jun,967,2,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9914,57,blue-collar,married,unknown,telephone,jun,651,2,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
9998,41,technician,married,professional.course,telephone,jun,649,3,no,0,nonexistent,1.4,94.465,-41.8,4.959,yes
10034,36,blue-collar,married,basic.6y,telephone,jun,614,2,no,0,nonexistent,1.4,94.465,-41.8,4.958,yes
10049,55,technician,divorced,professional.course,telephone,jun,885,1,no,0,nonexistent,1.4,94.465,-41.8,4.958,yes
10076,28,management,single,university.degree,telephone,jun,651,5,no,0,nonexistent,1.4,94.465,-41.8,4.958,yes
10124,46,technician,married,university.degree,telephone,jun,993,6,no,0,nonexistent,1.4,94.465,-41.8,4.958,yes
10134,35,blue-collar,married,high.school,telephone,jun,992,2,no,0,nonexistent,1.4,94.465,-41.8,4.958,yes
10144,49,blue-collar,married,basic.4y,telephone,jun,577,2,no,0,nonexistent,1.4,94.465,-41.8,4.958,yes
10227,35,entrepreneur,married,university.degree,telephone,jun,513,2,no,0,nonexistent,1.4,94.465,-41.8,4.96,yes
10247,50,housemaid,single,unknown,telephone,jun,741,4,no,0,nonexistent,1.4,94.465,-41.8,4.96,yes
10402,39,management,married,university.degree,telephone,jun,721,3,no,0,nonexistent,1.4,94.465,-41.8,4.96,yes
